48373,15258,15301,12929,14027,10351,13417,14223,14035,16587,21512,18632,19324,21981,21389,26285,24842,20044,23568,21091,21719,19854,16994,18492,14612,12941,11105,12056,13017,8928,11652,8432,13058,13228,10920,16599,14710,17644,11578,17506,19550,18298,23075,18403,18765,21056,16848,13420,16066,13000,9370,11389,11127,8369,9496,10079,8929,8535,8216,8625,11154,7731,9754,10269,12627,10737,12186,10170,10911,10099,9544,14775,13680,15689,18465,14680,16755,16923,16316,17075,13796,16072,12088,14883,11678,11012,12596,10389,11801,12568,7967,9538,9878,10036,7156,8481,12108,14049,12412,13530,16485,20252,18291,23337,25860,31018,33734,31716,30244,32030,27508,21651,21056,19486,22151,16567,18245,20802,15717,18350,17580,18435,18233,16901,16190,14299,16373,18201
45551,13067,14029,12765,12008,13694,16819,15618,15397,14471,16258,23936,21328,24291,26453,25851,22522,22113,20839,22859,21154,18615,18357,18129,11762,12917,10723,10867,11050,9486,11981,11984,11290,11368,10172,12574,15136,15007,11139,15615,20443,19928,18772,16025,18281,15157,13895,12529,11190,10733,11221,10698,12173,11723,5828,8133,8857,7161,9426,8984,8577,9580,10597,12531,12153,13556,8899,8296,9452,16367,12727,10876,14736,15717,19532,18894,22771,21008,22200,20844,15565,16180,17714,13149,13396,13384,11469,7806,9680,11202,7259,11466,10437,12048,9478,9742,9605,10422,13480,13624,18173,21141,22071,27079,28257,30168,34555,30874,31379,30697,30215,28468,22532,20133,23024,17926,20453,19588,17417,16692,18293,18842,16604,16881,16366,19537,17852,18220
45865,14597,15752,10984,12969,13993,14604,14660,16106,17526,18774,25058,21794,26842,23881,25092,26808,22141,22493,22163,18968,21510,16155,15769,17006,14308,10568,10821,10297,7662,11786,7850,12036,11699,8831,14576,12894,15753,11722,18877,13848,16748,18192,17119,16539,14628,14685,14282,11650,11203,8488,9110,9231,7970,8308,7788,9129,9848,7412,6306,10242,10377,9263,8080,12561,11143,8513,7138,10009,10918,10293,13567,16128,18582,21770,23026,23818,24625,22157,21985,21006,21424,17555,16018,12484,11859,12468,11282,12141,13773,7970,11994,7668,9275,6654,12134,8490,12471,15874,13240,17021,20882,22323,26154,26385,27318,34349,30908,29120,27790,30498,27703,24563,20315,19809,19244,22916,19183,20105,21521,21337,17586,18864,18769,18343,20422,18279,20284
43552,14132,14153,11236,15019,15487,15004,14629,15564,18108,22973,21834,25887,29354,26815,26145,26437,21708,23106,21050,17651,17455,15312,15071,13606,14132,6087,13305,9175,9332,10298,9070,9923,9969,5773,10233,10572,12300,8726,14043,11880,15857,13703,13327,14153,11214,11543,11081,8314,9506,10597,7903,11525,10187,9970,10046,8765,6617,9932,5376,8872,10717,11312,9651,8441,9568,9286,5393,9494,12202,11398,17394,18923,19771,26927,25483,28216,25842,25036,27061,21493,19711,17877,15742,16765,12545,11194,8983,11615,10052,7588,10680,9491,10438,10568,9343,11094,12094,12838,15388,17518,22209,21322,23007,28052,25561,32297,28811,30229,29827,27992,25219,21657,18409,19462,21102,24179,21831,22829,21992,20657,21001,17015,21821,17986,18827,18710,16827
39543,12731,12878,10384,11673,14646,15242,19553,15460,20167,22196,28021,24254,25344,26805,22511,26645,25376,20806,24225,17003,19459,13900,14642,11820,11826,10319,10369,9103,9190,8207,9456,11193,10882,6000,10776,9321,11467,8076,9590,11922,11764,13375,10831,11660,11219,9608,10794,9902,11734,8667,7539,8858,8045,8851,10265,11872,6499,5354,7995,6732,7901,8144,12576,6863,10897,8187,10065,9204,12339,12563,18230,17809,25630,28584,29287,33077,28321,28496,24557,22268,23845,20885,17652,16363,15683,11302,9650,12379,10233,8647,11538,9094,9686,10109,10612,10091,12134,9786,14867,18850,19298,20015,23558,26286,27133,24334,26842,26558,24784,28601,22177,24454,18737,18121,19594,23056,24077,20146,23332,20239,22150,17503,18693,16729,18925,15593,17355
49658,15329,13419,12880,13641,12973,14363,18231,15971,19181,21526,21870,21778,24780,25398,20950,24404,21249,19462,17893,20125,16783,14138,13375,8977,10739,10381,5734,7587,8005,7923,9703,9480,10651,7515,10988,9574,8753,7330,8951,11276,10672,8662,9419,9377,8267,9384,11032,8455,9908,8011,7730,11632,8276,8947,11761,10042,8271,8497,6638,7716,9169,10180,12277,7702,9395,9759,6154,11054,12614,14076,16940,20809,23061,29087,27309,31536,28759,29614,25893,25828,21573,20283,16425,15104,15013,13243,15775,12495,14020,9056,10114,10345,12003,9207,9521,11311,13096,12500,14495,15883,18550,21253,23482,25529,27035,27280,25024,22604,23786,22853,20472,18129,20927,23062,21268,25014,21193,21492,22518,21692,22113,15709,17798,19823,16156,16438,14780
43301,11193,13495,13401,13392,12926,15360,15936,14992,17585,19734,20638,23270,24140,23977,22719,21522,19705,20285,19441,14972,15288,12976,11667,9757,10218,7478,7701,10093,7604,7571,8615,7833,11466,8314,11343,8719,9670,6809,11578,9023,7221,9821,7316,9837,8462,11582,6726,6907,8249,10146,8187,12395,10691,10020,9680,10330,9138,7179,9277,11880,8287,9873,9740,9661,9137,10582,9003,13616,14231,14741,17247,20388,26519,29072,32060,35673,32416,30744,28469,24455,24005,21180,20912,20519,17207,14722,11463,12258,12146,7761,13374,9600,10380,6858,11893,14427,10708,13180,10924,18208,14964,15406,20942,20030,19060,19731,19054,22842,20624,21252,17846,17961,18598,18840,21615,24296,24227,21173,20499,20251,22019,18207,15699,16889,17146,16101,12249
42249,12166,10987,9689,8933,12806,12650,15145,16989,17184,17895,19668,21095,22276,22596,17298,21440,23446,16554,19130,14421,16213,11697,10351,8558,9725,6509,7958,9861,9863,12452,9462,8328,8329,8540,11674,7254,11022,5627,9589,8391,4926,6133,8472,7560,8247,9236,6412,5299,9353,8802,8289,13912,11488,10292,12899,10929,11779,9606,9791,12353,12453,9964,10754,10401,13956,9297,8163,8559,13007,16663,17451,22570,26599,29202,30520,30671,32555,29214,30453,22140,26063,22441,17609,17742,16386,14263,14190,14788,14046,9316,13620,13704,10251,10413,10329,10449,12462,12211,13441,13577,16390,14203,17735,19791,16961,18523,19479,16768,17410,18651,19799,15879,14956,16673,22366,22880,22059,19811,18144,20761,17671,13402,17845,15494,15458,12847,12276
42505,11569,10073,12294,9014,12112,12296,14210,11724,14658,12740,16461,21161,18827,17456,17872,17724,18045,17179,17033,13373,15008,10729,9780,9063,7801,6779,11444,9997,8058,12836,11222,14822,12302,9203,9135,10190,9590,3703,10284,5065,3336,6881,4990,6092,8074,5039,8116,7242,6291,9343,10876,11582,10947,10831,10205,13776,13408,10133,13519,10902,12897,12405,12249,8632,11247,9509,8400,11383,12616,14782,20154,20958,25425,30345,26398,33451,32786,28124,26189,26268,23427,18839,21037,17641,15842,15012,13087,15216,14877,9592,19248,13132,10489,9099,10536,10266,10159,13825,8757,15695,14187,13383,15713,13717,16440,15756,16141,17721,16243,19404,15320,15613,16433,15055,17025,24593,20673,18874,20880,17234,15672,16879,16449,15046,13228,13400,11701
40886,9240,8151,11865,9289,13750,12203,15066,11775,14482,16569,15583,15162,15645,19661,15988,18372,14182,13209,19022,13884,13672,11847,10019,10074,11210,6382,8546,12494,9157,11699,11631,11758,13052,11227,10895,11872,13514,5672,9096,10167,5597,5471,4724,4898,6080,6023,6450,8766,8408,9271,11187,11474,12049,13492,12534,13459,13068,13975,13927,17167,10812,15478,10526,10417,13431,11023,9164,10530,12773,13188,17391,22385,23359,24680,27472,29274,31622,24885,28408,23147,20337,22414,17192,17342,18386,15658,15303,15614,15937,12611,15248,13299,12108,12686,10066,11329,10500,12361,12647,14040,12899,13252,12488,14619,15042,15035,12538,15905,14508,19377,14696,15683,15353,20206,15630,23027,18601,20094,16432,19181,15984,16910,17265,16386,14587,14740,12716
38983,10476,8567,8174,12128,11245,11381,11492,12056,12109,12659,15178,14870,14344,15810,11563,15541,14929,11453,13581,11872,11733,11075,10968,10365,10046,8593,12023,12535,11403,12554,13700,17161,14805,12894,14248,15182,14594,8108,9326,6574,4905,6402,2350,6355,7408,5109,8595,7312,9889,11373,12329,12832,16456,15134,15546,17330,15588,14746,16388,16859,15888,14657,11424,14223,11593,9837,9892,10710,13589,15045,16862,17835,23051,24616,23695,25628,30078,23401,22869,21960,22553,21509,17498,17940,18345,14675,16587,17311,14803,11086,16438,9750,12042,9820,10314,10989,12477,7695,10629,10386,12357,11458,12308,13075,10414,12431,13632,13367,14733,15864,14462,14451,12950,14042,18547,21577,18662,16079,21516,18318,18448,12888,15885,16294,17855,14111,12922
42112,12923,11965,10933,12041,12113,11848,11362,13175,12197,10601,11218,12399,13674,14803,12934,12908,14464,10452,13219,13783,12035,12122,15224,10509,12910,10927,11733,15495,13627,17380,14346,14726,21241,15619,19201,16802,16651,7942,10069,7601,6825,5479,7266,5616,7662,7832,5775,9293,10410,13062,12484,14065,16854,18687,16606,18613,18465,17412,17275,18150,13483,16153,13586,11597,13011,9052,11454,12229,12124,12610,16029,15940,20406,23794,22929,20300,23166,22568,20230,16238,18124,18173,14642,15670,17580,17435,15595,14110,11779,12291,13523,13032,13173,11343,12031,9802,10622,7780,11424,12368,11786,12095,11352,9172,9766,12166,11006,11518,15711,15967,12455,11501,13900,16020,17062,19700,18786,21483,21186,17219,20093,19888,13797,16726,15279,12382,15183
43739,12104,11692,11150,9714,9166,11483,10859,10613,13111,9939,11754,11813,10522,11263,10436,12337,11458,13768,13370,13384,14587,10672,11660,12235,12275,11785,11202,12211,13483,19153,16707,22168,18266,19628,22041,18591,16120,10510,11999,9908,6909,7856,5816,7186,7091,6194,8964,9498,11423,13623,15038,16358,18931,21807,20159,20487,20632,19156,16794,18269,16967,17598,14864,13251,14442,12192,10165,10111,13099,11847,16858,16171,18494,21432,22971,18934,20077,16822,18735,17682,19636,17470,15931,14072,14275,17232,15969,16596,14383,12375,14018,12350,11327,9065,13723,10916,8370,10496,9229,8936,10789,8515,10479,13020,9312,10695,10874,12759,12781,13055,11215,14632,14988,15362,16465,22923,21782,18591,26001,22154,18954,18982,20697,16728,15413,12780,11143
44463,11880,14760,12346,10904,15214,12076,12492,8859,10908,10764,13193,8910,12692,9217,8643,12314,12110,12217,11574,9579,13247,10981,11839,9802,12566,13590,14099,15959,20095,19552,21560,22082,21727,21942,23441,18473,19879,11471,14871,12336,9522,6393,7686,7625,8713,9241,10991,9939,13334,13544,13815,19712,17778,21896,22970,22862,23531,24604,20580,21104,19282,15711,14927,12344,15002,11297,13906,11773,13643,11542,14823,13967,18051,18970,16859,18025,16632,14979,16695,15609,15470,14183,14425,15475,14668,11424,15108,13120,12887,9890,12131,12523,12286,12417,10398,9300,10945,8783,8527,11145,10103,10199,12213,10843,10751,10737,8934,11988,11976,13077,13549,16394,12935,15130,21684,26558,22929,22800,26424,23391,19925,19821,18317,19194,15355,13488,15855
47135,14944,13641,12828,13855,14233,10750,9158,11940,11164,8307,11458,8788,10443,10700,9197,10621,9750,11197,9412,13535,11121,7441,10272,11380,11983,12885,13191,17427,20310,23311,25082,27456,27507,23931,27109,22728,21343,13061,12160,11883,8564,9452,5810,9492,8662,8880,11099,11072,13873,19085,19904,21211,21283,28039,25891,24963,25674,26565,24280,24683,18751,17427,19662,16026,15780,11372,12399,9506,10912,11283,13158,17672,15041,18323,14721,14963,17151,16121,14560,15636,11892,14630,13750,15823,15787,12463,12575,13814,13394,7427,11792,11699,11015,9518,12255,10746,10309,8000,6130,10564,10782,8687,8404,7131,8475,9731,9682,11332,12537,15360,12699,13986,15163,16461,21382,26487,22705,25149,26895,23005,24423,22331,22233,19956,16895,18366,16206
47409,17202,14812,12353,14858,13668,10435,14520,10340,10829,11845,8208,8111,11271,11619,9961,11204,11511,9215,9487,9723,9102,10299,10993,9730,12631,16523,15652,20733,23231,27022,32725,28183,30071,28355,28014,24695,21646,11754,13713,10212,12047,12695,5982,11322,9516,12665,10523,14145,13702,14870,19460,19914,21734,23774,25678,29237,28225,27479,24615,23062,19282,18225,18916,16087,15563,11673,9429,11257,13290,10445,11934,10885,13938,14759,12572,14366,14912,15390,13045,14066,12510,11123,10848,14437,14980,12498,13039,14038,13331,11827,12620,11397,11383,11815,12177,13024,7784,9014,9023,13093,10034,6879,10779,7447,6961,9135,9187,9852,14865,12297,13361,13906,19674,22376,23507,26039,25163,26222,26539,24858,26402,24759,20999,22182,20798,17443,15611
49813,20580,17901,20015,14383,13299,12758,12422,10288,13699,9735,9918,10516,8989,7315,8268,9274,10541,6948,10238,8479,8546,9197,10768,11512,15484,15519,17489,20246,17911,24382,27796,28372,30479,29180,30708,24742,20112,14654,16156,10783,10995,11107,7767,13421,9694,10997,13295,9544,15636,17620,22043,24133,24379,26140,26207,28450,26946,23436,25929,26983,20214,17423,16561,15181,13974,9773,11861,8933,10097,10430,11729,11059,13628,13292,14114,13198,13613,13541,13658,10841,12755,12204,12446,13302,8712,9051,8808,13908,10250,6476,12085,9195,13665,10901,10688,10825,9327,6939,10585,13068,10383,8169,10737,5954,9934,8592,10033,13481,13416,15379,16219,15918,16661,20547,24491,28944,29196,26284,28461,28820,24959,21056,22768,21884,22496,19472,20067
53001,21419,22492,16339,15845,18886,15499,14350,8818,10823,12888,9066,9625,8927,9344,9043,9352,10173,7561,6290,7572,7696,9524,10216,10851,19323,14011,16096,22953,23139,23584,27241,29647,29257,29296,27022,23068,17774,12049,14251,13523,10128,8409,9024,9215,9669,13539,13300,11904,16876,19352,20275,19631,24481,26410,27651,28250,26097,25564,24255,24111,18862,19524,15468,15537,15156,10712,10218,11277,9719,8739,9812,12197,12157,11172,13395,12754,12455,12086,12737,11069,9907,8710,10949,10976,11595,12485,10384,11519,11440,5693,10485,9583,9517,10658,10778,13096,8883,11553,7299,11133,9984,8390,13586,8968,10049,10574,7885,10771,10918,13019,11892,15473,21223,20394,25132,26971,30010,29169,30429,33490,27263,27444,26215,24490,20797,22769,22792
59016,26934,22756,22781,19735,18819,14453,12505,11358,11978,11438,8853,10400,10542,7692,6606,9958,7348,8494,9468,9651,8075,7323,11700,9592,12212,14616,18358,19578,20839,25105,26970,31309,28358,23586,25959,25312,20730,15918,14913,13804,8654,11570,7817,9957,8842,9798,11752,13036,12752,16467,18580,24160,23454,26645,28061,26075,24302,26207,24291,21528,18977,16305,14241,14817,16044,11806,9879,12784,10470,9737,10926,13199,12126,11177,11878,13957,13068,10020,12762,11773,10970,10047,8089,13010,11180,9222,7527,7908,10820,7737,10056,13300,11081,10309,12341,9869,11189,9578,11329,11518,12013,9475,10187,11560,10515,9321,9606,12043,14336,13517,13932,16637,21005,23980,23895,30964,29899,30831,30214,30668,29231,28838,26209,24087,22993,22548,21779
55670,25917,23120,23137,22546,19278,15834,15860,12179,14394,9921,10140,9755,10891,6973,7665,9512,7224,5189,9424,8056,8444,9067,8669,10574,15445,14533,17130,17495,21142,26238,22793,24614,25952,28737,22226,19899,19947,11284,14263,12042,9969,12577,9407,8587,11452,11788,11468,13585,16934,13606,20162,21338,24453,24885,27971,21780,27805,24006,21100,19513,19171,14679,15185,14160,14991,11915,11438,9351,13783,12266,10771,12908,11799,12817,14311,13778,14487,10324,13176,10956,10780,8441,8346,10137,8331,8509,9324,11206,10274,7515,12047,10454,11179,12019,11987,9700,10864,11140,12030,12425,13203,11572,11912,11256,9761,13361,12061,9495,10457,13530,13061,12508,16405,22169,25921,27895,28269,30442,30416,28257,29532,26491,26027,22746,23541,24268,23398
57216,27137,29326,26060,20307,20510,16697,15197,13187,12657,10902,11610,9970,11440,9340,7091,7129,7005,6886,8271,8673,9100,8061,12003,9144,11659,12309,15176,16712,19156,22916,22591,23687,21326,22349,23510,18427,17580,12009,15326,13214,9446,8409,8659,9963,13385,9978,11232,10044,11448,12837,14927,19679,18379,22219,23494,23806,21065,22269,23481,19484,14907,15123,14094,13241,12296,13290,10523,9552,11474,11365,10006,12836,12789,15038,13134,12300,12309,13418,13356,9606,10917,9162,7805,9069,9902,9221,9131,11718,12537,8871,10467,10087,11367,7627,14493,11721,13163,11285,14195,13146,14104,10496,12134,12687,8895,12620,11775,11545,13698,15401,11749,16765,17462,19058,23558,31460,29087,29986,35347,28554,28714,25949,23022,25849,24132,23500,25445
65535,28349,27999,26025,25364,19323,17488,16165,13425,16605,13206,8854,9413,9358,7713,6076,8523,7375,7510,6824,6335,9305,11285,10639,9362,13762,11871,13861,15843,16632,21612,20947,22265,21946,18655,21506,18963,14014,9276,12466,9449,10164,7887,8347,10551,10640,9292,9943,10635,15312,13375,13409,15522,18936,21468,21521,21705,20576,24327,17978,17318,16347,15642,12292,13768,11197,12926,11766,10210,9675,10347,11824,13651,15348,15048,16444,12890,13370,16362,13519,10909,15055,8314,9622,10523,8615,8608,7855,8979,10954,9947,9515,9820,13976,9469,12783,13867,13678,13049,14257,17216,16973,13351,11997,16640,13035,12397,12315,13313,13525,11846,12089,16695,15898,20714,27581,28972,27142,26474,31129,26499,24823,21939,23764,23141,23471,24839,27140
64027,27418,29288,27841,21551,22382,20475,17737,11911,13692,11474,9171,10026,11061,9407,6984,8927,6324,6311,7811,7178,12077,7223,7497,9128,11843,13986,11904,12605,13948,18400,19701,16876,19255,15047,16518,18424,13875,10890,9797,10985,7039,11054,6006,9433,6800,9008,9848,8070,12826,11739,14583,12693,17726,18290,17308,17694,18211,15790,15685,18060,14224,12143,14391,15290,12870,10816,13216,11704,10461,10294,14713,18294,16924,16040,17625,23958,16473,16637,16219,11657,10884,11329,10773,11541,10059,11417,9650,11702,9985,6940,10466,9887,14003,13465,13909,15860,17068,19783,17144,19378,17485,16387,15791,13044,14755,12297,12521,11909,13124,13083,14005,15111,16090,18592,20430,25578,27723,22273,27040,24793,24364,23331,22217,22780,24247,27081,26580
62466,31243,31952,26127,25889,25495,19445,18690,12268,12447,12448,11003,10475,9450,8907,10848,7860,8973,7259,9900,6521,6865,7581,8191,10475,9141,11154,11525,13422,14944,16696,16491,17728,20666,13643,15362,13022,13202,10261,9988,10902,10603,9602,7892,9882,8804,7985,7208,5048,12154,12748,9894,16027,13383,14925,19846,17219,14522,15927,12173,12495,12785,13958,11569,12226,13100,10046,10870,13147,15607,11569,14154,16714,15497,20002,21839,20814,22410,17755,21722,16020,13633,10171,10667,11051,9596,10772,6786,14589,11973,6833,14959,11079,15350,12221,17483,16881,20249,21191,21356,23059,17377,20430,16367,14798,15987,14706,11503,10683,13352,13874,12343,14822,15136,19527,18610,23732,22230,25326,23331,23563,24634,20500,21275,21040,25039,24800,26863
58121,29240,30216,30406,24176,21794,16842,15485,12212,12467,12468,9597,12324,9826,6982,7569,8054,6464,7564,9035,4823,8434,5972,9795,11255,11287,9115,11139,11635,13166,12684,14851,14502,15161,8707,15661,11469,9771,7788,9783,9936,9279,7447,5777,12597,8474,8190,9500,7367,7201,7874,13285,11206,15277,14445,13655,12039,10136,12315,14309,14343,10464,9521,10797,10604,12256,11387,9722,12351,16626,12345,13467,22147,24084,22649,24518,24586,22601,18945,19112,15428,15477,13777,9777,10299,8513,11531,10176,12668,14390,9531,11031,12309,13043,14573,21069,21103,18106,24169,24723,26345,26609,20958,18939,18565,17958,15213,15508,14417,13002,13653,12454,15150,16886,20049,21207,22353,21753,21699,23570,19694,22834,20530,21501,22474,22968,26390,25195
57603,29116,29204,26689,21495,22974,19429,15048,14269,12015,13088,11035,11448,11370,10659,6777,8290,8151,5478,7508,7694,9657,9872,8475,9031,12409,7884,10486,10731,10999,12165,13421,11138,15032,10101,12118,12585,11386,7507,10343,7121,5973,8637,6871,11686,9424,7856,8386,6416,7820,8040,9225,11042,11673,11458,13467,12870,14005,9529,8759,9855,9713,10623,9920,11693,11214,10866,9341,9704,15180,14763,17547,22329,25415,26515,23087,25214,25080,23390,23898,17545,15976,14444,9713,14038,10430,8303,9989,11423,13588,9732,13180,11995,17647,18903,20740,23998,26305,22486,22498,25551,26154,20544,21420,20569,17827,13278,15971,15244,13730,13688,14721,13589,15306,17528,18440,17002,18682,20551,21558,17943,21514,19577,20625,19969,23297,25344,26396
61228,25411,26574,24595,20300,18369,16758,15067,13505,10974,12869,11072,10181,10479,9027,7213,5231,9237,3483,9338,9569,10074,6490,9357,8668,9136,6106,9731,9248,8550,11579,12588,11686,10268,8473,11064,10903,8883,6416,7604,10619,10961,10960,7895,13135,9703,8387,7172,5068,9553,9474,8615,11713,8104,10983,12655,10188,9415,7894,9018,10525,7554,8051,9706,9661,9887,9981,11515,12559,13256,16636,21484,24976,28934,29988,29518,26612,28736,28220,22646,19488,16007,14893,14998,13169,10670,13990,12717,12979,12890,9945,14567,15586,18429,18264,21194,23057,26195,29291,29389,30807,25578,22118,21951,21459,17669,18602,15086,13542,13033,15011,12681,16296,15438,14499,18247,17291,17002,14787,20686,16273,18900,14718,19163,20647,20363,20644,22655
56352,24103,19645,21712,20930,15569,16749,16332,13565,12962,12990,11359,10952,14670,8188,7957,7742,7818,7524,8116,7729,8523,10212,9702,10031,10347,7486,9228,9770,10456,8288,9861,11174,11325,8488,12502,11321,10667,6735,12226,10663,10217,10286,7997,12647,9657,10402,9798,6298,6344,11552,7585,7929,10552,10761,12865,10729,9398,9114,9013,9271,9330,8728,8374,8415,10519,9365,8401,14456,18277,16773,21183,28564,30622,27753,28363,30046,29958,26407,22808,20159,17066,15637,11977,13461,12224,11900,11281,11154,13592,6927,14882,16198,20626,19228,26406,26052,26770,28589,27341,30011,28627,22364,24711,21760,16472,18397,14233,16619,15059,17702,11359,12522,15109,16542,16745,17812,16724,16403,18335,16928,17888,14089,19046,19944,18928,21529,21688
